ID,age,gender,ses,poli,civicengage1,colleff1_1,colleff2_1,affectpol1,polar1,perpolarlay1,perpolarelite1,media1_tv1,media2_newspaper1,media3_sns1,media4_youtube1,media5_community1,media6_other1,media6_othertext1,civicengage2,colleff1_2,colleff2_2,voteintention2,media1_tv2,media2_newspaper2,media3_sns2,media4_youtube2,media5_community2,media6_other2,media6_othertext2,media1_tv_perc2,media2_newspaper_perc2,media3_sns_perc2,media4_youtube_perc2,media5_community_perc2,media6_other_perc2,media6_othertext_perc2,affectpol2,polar2,perpolarlay2,perpolarelite2,civicengage3,colleff1_3,colleff2_3,vote3,media1_tv3,media2_newspaper3,media3_sns3,media4_youtube3,media5_community3,media6_other3,media6_othertext3,media1_tv_perc3,media2_newspaper_perc3,media3_sns_perc3,media4_youtube_perc3,media5_community_perc3,media6_other_perc3,media6_othertext_perc3,affectpol3,polar3,perpolarlay3,perpolarelite3
267,41,2,5,5,65,5,4,30,2,5,4,1,NA,NA,NA,NA,NA,NA,50,3,3,1,1,NA,NA,NA,NA,NA,NA,70,30,0,0,0,NA,NA,3,2,4,4,50,4,3,1,1,NA,NA,NA,NA,NA,NA,80,20,0,0,0,0,0,0,1,7,6
268,63,2,5,5,68,5,4,78,1,5,5,1,2,3,NA,NA,NA,NA,66,4,5,1,1,2,3,4,5,NA,NA,70,5,10,10,5,NA,NA,25,1,0,2,35,5,4,1,1,NA,3,NA,NA,NA,NA,69,5,5,5,6,0,10,0,2,6,4
269,33,1,2,5,50,4,3,0,3,10,10,NA,NA,NA,NA,5,NA,NA,0,3,4,1,NA,2,NA,NA,5,NA,NA,0,50,0,0,50,NA,NA,29,3,10,9,0,3,3,1,NA,2,NA,NA,5,NA,NA,0,50,0,0,50,0,0,35,3,8,10
270,38,1,8,6,26,5,4,61,2,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,66,2,5,5,11,3,3,1,3,10,9,1,2,NA,NA,NA,NA,NA,7,3,3,3,1,2,NA,NA,NA,NA,NA,30,50,10,5,5,NA,NA,3,0,9,9,5,3,3,1,1,2,NA,NA,NA,NA,NA,10,70,10,0,10,0,0,4,3,7,9
272,52,1,5,5,61,4,3,38,1,1,4,1,2,NA,4,NA,NA,NA,54,4,3,1,1,2,3,4,NA,NA,NA,30,30,10,20,10,NA,NA,13,1,1,1,57,3,2,1,NA,NA,NA,NA,5,NA,NA,30,20,10,30,10,0,0,9,1,2,3
273,66,2,7,7,79,4,4,78,2,2,5,1,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,52,1,5,5,70,4,5,39,1,2,5,1,2,3,4,NA,NA,NA,78,5,5,1,1,2,3,4,NA,NA,NA,50,10,0,40,0,NA,NA,34,2,2,4,73,4,5,1,1,2,3,4,NA,NA,NA,30,20,20,30,0,0,0,24,1,3,4
275,64,1,8,6,82,5,5,85,2,7,9,1,NA,NA,NA,NA,NA,NA,78,5,5,1,1,NA,NA,4,NA,NA,NA,70,5,10,10,5,NA,NA,87,1,7,7,81,4,4,1,1,NA,NA,4,5,NA,NA,60,0,20,10,10,0,0,82,1,2,1
276,64,1,5,5,53,4,3,11,1,5,7,1,NA,NA,4,NA,NA,NA,52,4,4,1,1,NA,NA,NA,5,NA,NA,20,0,0,30,50,NA,NA,2,2,7,9,52,4,4,3,1,NA,NA,4,NA,NA,NA,80,15,0,5,0,0,0,5,1,7,9
277,65,2,1,5,50,3,3,68,0,0,3,NA,NA,3,4,NA,NA,NA,10,4,3,3,1,2,NA,NA,NA,NA,NA,70,0,30,0,0,NA,NA,21,0,2,0,50,4,4,2,NA,NA,3,NA,NA,NA,NA,50,0,10,30,10,0,0,16,0,8,8
278,54,2,6,5,31,4,2,6,1,1,0,1,NA,NA,NA,5,NA,NA,12,3,3,1,1,2,3,NA,NA,NA,NA,70,0,30,0,0,NA,NA,14,2,2,0,39,4,3,1,1,NA,3,NA,NA,NA,NA,70,5,10,10,2,0,3,26,1,1,1
279,65,2,6,2,65,4,3,48,1,1,0,NA,2,NA,NA,NA,NA,NA,74,4,4,1,1,NA,NA,NA,NA,NA,NA,40,30,15,15,0,NA,NA,61,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,36,2,7,0,50,4,5,9,3,1,7,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,4,4,1,1,NA,3,NA,5,NA,NA,20,20,20,10,20,0,10,11,0,0,1
